number ;Samples_ID;Collection_month;Year_collection;Collection_date;Block_ID;Lake_ID;filter_pore_size;Bological_Replicates;UTC;Hour_Collection_start;Hour_Collection_end;L_F;L_M;L_SC;L_SL;L_tot_filtered;Treatment;Sampling_type;Pompe;expe;Comments_field;Transfer_date;Extraction_date
322;L12_0.1_Oct22;October;2022;21.10.2022;B3;L12;0.1;NA;summer;14:40:00;14:54:00;1;1;1;1;4;none;Monthly;NA;NA;;;
323;L12_0.45_Oct22;October;2022;21.10.2022;B3;L12;0.45;NA;summer;14:40:00;14:54:00;1;1;1;1;4;none;Monthly;NA;NA;;;
324;L1_0.1_Nov22;November;2022;18.11.2022;B1;L1;0.1;NA;winter;12:27:00;12:43:00;1;1;1;1;4;N;Monthly;NA;Simon;;;
325;L1_0.45_Nov22;November;2022;18.11.2022;B1;L1;0.1;NA;winter;12:27:00;12:43:00;1;1;1;1;4;N;Monthly;NA;Simon;;;
326;L2_0.1_Nov22;November;2022;18.11.2022;B1;L2;0.1;NA;winter;12:29:00;12:45:00;1;1;1;1;4;none;Monthly;NA;Stephane;;;
327;L2_0.45_Nov22;November;2022;18.11.2022;B1;L2;0.45;NA;winter;12:29:00;12:45:00;1;1;1;1;4;none;Monthly;NA;Stephane;;;
328;L3_0.1_Nov22;November;2022;18.11.2022;B1;L3;0.1;NA;winter;12:30:00;12:45:00;1;1;1;1;4;NP;Monthly;NA;Beatriz;;;
329;L3_0.45_Nov22;November;2022;18.11.2022;B1;L3;0.45;NA;winter;12:30:00;12:45:00;1;1;1;1;4;NP;Monthly;NA;Beatriz;;;
330;L4_0.1_Nov22;November;2022;18.11.2022;B1;L4;0.1;NA;winter;12:30:00;12:56:00;1;1;1;1;4;P;Monthly;NA;Gerard;;;
331;L4_0.45_Nov22;November;2022;18.11.2022;B1;L4;0.45;NA;winter;12:30:00;12:56:00;1;1;1;1;4;P;Monthly;NA;Gerard;;;
332;L5_0.1_Nov22;November;2022;18.11.2022;B2;L5;0.1;NA;winter;13:13:00;13:44:00;1;1;0,7;0,45;3,15;P;Monthly;NA;NA;;;
333;L5_0.45_Nov22;November;2022;18.11.2022;B2;L5;0.45;NA;winter;13:13:00;13:44:00;1;1;0,7;0,45;3,15;P;Monthly;NA;NA;;;
334;L6_0.1_Nov22;November;2022;18.11.2022;B2;L6;0.1;NA;winter;13:01:00;13:10:00;1;1;1;1;4;NP;Monthly;NA;Stephane;;;
335;L6_0.45_Nov22;November;2022;18.11.2022;B2;L6;0.45;NA;winter;13:01:00;13:10:00;1;1;1;1;4;NP;Monthly;NA;Stephane;;;
336;L7_0.1_Nov22;November;2022;18.11.2022;B2;L7;0.1;NA;winter;13:01:00;13:25:00;1;1;1;1;4;none;Monthly;NA;Beatriz;;;
337;L7_0.45_Nov22;November;2022;18.11.2022;B2;L7;0.45;NA;winter;13:01:00;13:25:00;1;1;1;1;4;none;Monthly;NA;Beatriz;;;
338;L8_0.1B_Nov22;November;2022;18.11.2022;B2;L8;0.1B;blue;winter;13:06:00;13:35:00;1;1;1;1;4;N;Monthly;NA;Gerard;;;
339;L8_0.45B_Nov22;November;2022;18.11.2022;B2;L8;0.45B;blue;winter;13:06:00;13:35:00;1;1;1;1;4;N;Monthly;NA;Gerard;;;
